,account_id,amount_usd
0,550385,-43869218.303893946
1,550406,-273293580.1070485
2,661926,210919964.98389348
3,693819,-3450.4479999999994
4,751280,-6900957.679749439
5,777808,5026326.882227966
6,777809,-35687594.64415556
7,777818,2767100.681366157
8,784028,29171067.04095584
9,784031,17660686.877415475
10,1107813,0.0
11,1107814,972237.8757444446
12,1107815,6274751.0433
13,1107816,-494182.9944878206
14,1107817,0.0
15,1107818,128689.83723333334
16,1107819,-16031.929
17,1107820,-1152394.8743833336
18,1107835,-2281.049
19,1107836,0.0
20,1107839,0.0
21,1107840,0.0
22,1107842,0.0
23,1107978,262677075.60118195
24,1107980,0.0
25,1107981,387792.21816666675
26,1107982,0.0
27,1107984,0.0
28,1108147,-11207898.189631734
29,1108148,0.0
30,1108149,-412615.1668654761
31,1108150,-350230.19891285937
32,1108151,-61.443000000000005
33,1108152,649.8009166667858
34,1108153,-1488.8776
35,1108154,-6782.586666666667
36,1108155,-48336.64633333332
37,1108281,0.0
38,1108282,0.0
39,1108283,-17656.665
40,1108285,0.0
41,1108286,-43397.59113095238
42,1108287,-10165.837166666666
43,1108288,0.0
44,1108304,32666666.666666668
45,1108316,1870000.0
46,1108337,36915.26666666667
47,1108341,2104.0316666666668
48,1109811,0.0
49,1230626,0.0
50,1264959,-1010.3781666666666
51,1264962,45296.464333333344
52,1265158,-1162627.2437428571
53,1265159,-220.79836666666665
54,1265160,0.0
55,1265161,0.0
56,1265327,-6349477.0872920705
57,1265328,9712552.256166667
58,1266785,-33221597.093592163
59,1266972,13091563.674816664
60,1266973,74624627.28355165
61,1267036,-3250828.24849762
62,1267038,-266961.21966666664
63,1267101,196362.66199999995
64,1267227,3202.6116666666644
65,1267290,8135.485500000001
66,1267416,-609251.9740071429
67,1267417,19695373.671834197
68,1267418,-7734945.622877775
69,1267482,0.0
70,1267483,2533572.4464666666
71,1267505,0.0
72,1269978,3159701.490098562
73,1269979,10104.959416666668
74,1269980,-162355941.89880323
75,1269981,10439573.63077381
76,1287102,86886857.05478555
77,1287104,20148518.44738245
78,1287176,-867984.6969999998
79,1287178,-425.5830833333333
80,1289971,483.64766190476206
81,1289972,-361989.31706666667
82,1297424,-619928.2734678471
83,1297425,535648.8098785714
84,1433285,-1514364.4433333331
85,1452317,-6985264.050488095
86,1495511,0.0
87,1495512,-2777.136165873016
88,1495519,-3592.898
89,1570210,0.0
90,1631941,-3896952.285165185
91,1631947,0.0
92,1631948,0.0
93,1631956,111947.71516666665
94,1739731,27379.09357619047
95,1740437,65553671.29457102
96,1834354,167232760.8006587
97,1835832,125999.198
98,2059087,369339.28567738103
99,2059313,2645420.451817857
100,2290381,-43755163.46847406
101,2350376,-44.95166666666667
102,2484705,-485340.62310476194
103,2484706,-464231.04043333326
104,2586961,-72026.65536465227
105,2586962,188477.12090601344
106,2586963,48324.59462477105
107,2586964,-55530.53440238094
108,2586965,-42430.43669047619
109,2586966,-107848.61507738096
110,2729759,-43055201.18840086
111,2729763,-6196649.122551192
112,2729765,68261413.28766936
113,2729766,244972901.5410237
114,2729767,-60838235.95346628
115,2821164,-2008.9769722222225
116,2837702,22221.842
117,2968165,73443.8
118,2968174,11022906.560666665
119,2968183,4016866.4956452376
120,2968192,68786.20833333333
121,3102197,-283.6195333333333
122,3169156,-4861.705583333333
123,3169157,-1244.6145
124,3169158,822.4703333333333
125,3274874,-164658.37599999996
126,3283940,-352943.96496547636
127,3291608,4488.037000000034
128,3301816,42665.01475
